Diagnosa,Gejala,Penyakit,Penanganan,Risiko,,,,,,,,,,,,,,,,,,,,,
Retensio Secundarium,"Bau tidak sedap dari perdarahan vagina (baunya bisa menjadi busuk), Kenaikan suhu tubuh (demam), Nyeri atau kram perut bagian bawah, Perasaan penuh atau tertekan di perut bagian bawah, Perdarahan vagina yang berkepanjangan setelah persalinan, Retensi placenta",Retensio Secundarium,"8.000 ml deangan Dexatozoon Injeksi dan 10.000 ml dengan VET-OXY LA dan 8.000 ml dengan VITOL-140, 8.000 ml dengan Dexatozoon Injeksi dan 8.000 ml dengan VITOL-140 dan 8.000 ml dengan VET-OXY LA",,,,,,,,,,,,,,,,,,,,,,
Scabies,"Anorexia, Borok Perkulitan, Bulu Rontok, gatal, Perkulitan",Scabies,"0.0500 dengan ivomec super, 3.000 ml dengan injeksi VITAMIN B-12 dan 0.400 gram dengan SUPER-P",Bisa menghisap darah dan sangat beresiko yang langsung berkontrasi dengan sapi tersebut,,,,,,,,,,,,,,,,,,,,,
Silent heart,anestrus,Silent heart,"5000 ml dengan CAPRIGLANDIN INJ; @10000 ml dengan VITOL-140, 5000 ml dengan LUTALYSE; @10000 ml dengan VITOL-140",,,,,,,,,,,,,,,,,,,,,,
Stomatitis,"Anorexia, Demam, Liur berdarah",Stomatitis,10000 ml dengan SULPIDON INJEKSI; @8000 ml dengan B-SANPLEX,,,,,,,,,,,,,,,,,,,,,,
Surra,"Anorexia, Demam, Sempoyongan",Surra,10000 gram dengan TRYPONIL; @10000 ml dengan Hematodin,,,,,,,,,,,,,,,,,,,,,,
Tidak Sakit,"Tanda lain, Tidak Sakit",Tidak Sakit,8.000 ml dengan B-SANPLEX,,,,,,,,,,,,,,,,,,,,,,
Tympany,"Kegagalan hewan untuk makan atau minum, gelisah, Kehilangan nafsu makan, Kesulitan bergerak atau berdiri, Kesulitan bernapas, Keterlambatan dalam pengosongan perut, Mungkin terjadi bisingan pada rongga dada atau pernapasan yang cepat, Pernapasan cepat, Perut yang membesar secara tiba-tiba, Perut yang membuncit , Produksi ludah berlebihan, Sapi tampak gelisah, Sapi tampak tidak nyaman, Sering mengunyah atau menggerogoti benda-benda di sekitarnya, Suara perut yang berbunyi-bunyi",Tympany,"2.000 ml dengan SULPIDON INJEKSI dan 30.000 ml dengan Tympanol dan 2.000 ml dengan BIODIN, 3.000 ml dengan SULPIDON INJEKSI dan 30.000 ml dengan Tympanol dan 3.000 ml dengan B-SANPLEX, 3.000 ml dengan SULPIDON INJEKSI dan 30.000 ml dengan Tympanol dan 3.000 ml BIODIN",,,,,,,,,,,,,,,,,,,,,,
Urolothiasis,Kesulitan kencing,Urolothiasis,0.500 ml dengan Dexatozoom Injeksi; @0.300 ml dengan KETAMINE 10% INJ; @0.300 ml dengan XYLA; @0.500 ml dengan PENSTREP-400,,,,,,,,,,,,,,,,,,,,,,
Abses,Abses,Abses,1.000 unit dengan GUSANEX dan 8.000 ml dengan Dexatozoon Injeksi dan 8.000 ml dengan B-SANPLEX dan 8.000 ml dengan VIT-OXY LA,,,,,,,,,,,,,,,,,,,,,,
Avitaminosis,"Anemia, Anorexia, Bulu Kusam, Demam, Diare, Gangguan otot , Gangguan pencernaan , Gangguan penglihatan, Gangguan pertumbuhan pada anak hewan, Gangguan pertumbuhan pada anak-anak, Gangguan reproduksi, Gangguan sistem kekebalan tubuh, Gangguan sistem saraf, Gangguan tulang, Keguguran pada betina, Kehilangan nafsu makan, Kejang , Kekurusan, Lelah , Lemah, Kerontokan rambut, Kesulitan dalam perkawinan, Masalah gigi dan gusi, seperti berdarah atau gusi yang bengkak, Masalah kulit seperti kering, bersisik, dan keriput, Masalah pernapasan, Penglihatan kabur, Perubahan perilaku, Pincang, Sakit otot, Sakit sendi, Sembelit",Avitaminosis,"1.000 bolus dengan PYRONIL-2500 BOLUS dan 8.000 ml dengan VITOL-140, 1000 dengan Pyronil-@2500 bolus dengan B-Sanplex, 1001 dengan Pyronil-@2500 bolus dengan B-Sanplex, 8.000 ml dengan VITOL, 1.000 bolus dengan PYRONIL-2500 BOLUS dan 10.000 ml dengan VITOL-140 dan 8.000 ml dengan BIODIN1003 dengan Pyronil-@2500 bolus dengan B-Sanplex2.000 ml dengan B-SANPLEX-140, 8.000 ml dengan B-SANPLEX dan 1.000 bolus dengan PYRONIL-2500 BOLUS, 1.000 bolus dengan PYRONIL-2500 BOLUS dan 10.000 ml dengan VITOL-140 dan 8.000 ml dengan BIODIN",Kekurangan vitamin (tidak terlalu beresiko),,,,,,,,,,,,,,,,,,,,,
Babesiosis,"Bulu kusam,Gatal,Kelainan kulit,Perkulitan",Babesiosis,"8000 gram dengan TRYPONIL; @3000 ml dengan Intrafer-200 B12, 1000 gram dengan SUPER-P; @8000 ml dengan VITOL-140; dan @1000 ml dengan MEDOXY LA",,,,,,,,,,,,,,,,,,,,,,
Bovine Ephemeral Fever,"Anorexia, Demam, Demam, Demam, Diare, Durasi gejala biasanya 3-4 hari, Gemetar , Kaku pada otot-otot tubuh, Kebingungan, Kehilangan nafsu makan, Lemah, Kelesuan, Kemungkinan terjadinya kejang, Kesadaran menurun, Kesulitan berdiri, Kesulitan bergerak, Muntah , Pembengkakan pada sendi-sendi kaki, Penurunan produksi susu pada sapi perah, Penurunan suhu tubuh setelah demam, Pincang, Produksi air liur meningkat, Sakit otot , Sakit sendi, Sempoyongan, Terjadi kejang-kejang, Tremor",Bovine Ephemeral Fever,"10.000 ml dengan B-SANPLEX dan 1.000 bolus dengan PYRONIL-2500 BOLUS, 8.000 ml dengan VET-OXY LA dan 8.000 ml dengan SULPIDON INJEKSI dan 8.000 ml dengan B-SANPLEX, 10.000 ml dengan SULPIDON, 8001 ml dengan B-SANPLEX; @8000 ml dengan SULPIDO INJEKSI dan @8000 ml dengan VET-OXY LA8.000 ml dengan B-SANPLEX dan 10.000 ml dengan SULPIDON INJEKSI dan 8.000 ml dengan VET-OXY LAINJEKSI dan 8.000 ml dengan VET-OXY LA dan 8.000 ml dengan B-SANPLEX, 8001 ml dengan B-SANPLEX; @8000 ml dengan SULPIDO INJEKSI dan @8000 ml dengan VET-OXY LA",Bisa menurunkan produksi daging ,,,,,,,,,,,,,,,,,,,,,
Corpus Luteum Persisten,Anestrus,Corpus Luteum Persisten,5000 ml dengan CAPRIGLADIN INJ; @10000 ml dengan VITOL-140,,,,,,,,,,,,,,,,,,,,,,
Distokia,"gelisah, Janin yang terlilit tali pusar, Keluarnya cairan atau darah dalam jumlah yang tidak normal dari vulva, Kepala atau anggota badan janin terlihat tidak normal atau terdistorsi, Kesulitan dalam proses persalinan, Keterlambatan dalam proses persalinan, Lama waktu persalinan yang tidak normal, Pendarahan atau keluarnya cairan dari vulva, Posisi atau presentasi janin yang tidak benar (misalnya kepala tersendat), Posisi atau presentasi janin yang tidak benar (misalnya, kaki belakang), Sapi kesulitan untuk melahirkan, Sapi menunjukkan tanda-tanda kesakitan yang tidak biasa, Sapi merintih , Sapi tampak gelisah, Sapi tampak tidak nyaman",Distokia,"1.000 unit dengan Traksi dan 10.000 ml dengan PENSTREP-400 dan 8.000 ml dengan BIODIN, 3.000 ml dengan BIODIN dan 1.000 unit dengan 2.000 ml dengan VET-OXY LA dan 1.000 ml dengan OXYTOCIN",,,,,,,,,,,,,,,,,,,,,,
Endometritis,Rahim bernanah,Endometritis,10000 ml dengan PENSTREP-400; @10000 ml dengan VITOL-140,,,,,,,,,,,,,,,,,,,,,,
Enteritis,"Berat badan turun secara signifikan, Darah dalam tinja (terkadang), Dehidrasi , Demam, Diare, Diare, Gatal atau terasa seperti ada benda asing di mata, Gejala flu, seperti pilek atau sakit tenggorokan (pada beberapa kasus), Penurunan berat badan yang signifikan, Kehilangan nafsu makan, Lelah , Keluarnya sekresi atau mata berair, Kram perut atau nyeri perut, Kurangnya urin, Lemas, Mata cekung, Mata merah, Mata iritasi, Mencret, Mengedipkan mata lebih sering dari biasanya, Mual, Mulut kering, Muntah , Pembengkakan pada kelopak mata, Penglihatan kabur, Penurunan produksi susu pada hewan ternak (jika berlaku), Perubahan perilaku, Perut kembung, Produksi lendir atau nanah pada mata (terutama jika infeksi bakteri), Rasa nyeri atau ketidaknyamanan di mata, Sensasi panas di mata, Sensitivitas terhadap cahaya (fotofobia), Suhu tubuh yang meningkat",Enteritis,"2.000 ml dengan SULFA STRONG dan 2.000 ml dengan VITOL-140, 10.000 ml dengan SULFA STRONG dan 10.000 ml dengan BIODIN, 10.000 ml dengan SULFA STRONG dan 8.000 ml dengan VITOL-140, 2.000 ml dengan SULFA STRONG dan 2.000 ml dengan B-SANPLEX",,,,,,,,,,,,,,,,,,,,,,
Eutokia,"Lahir mati,Lahir normal,Tanda lain",Eutokia,"10.000 ml dengan SULFA STRONG dan 10.000 ml dengan BIODIN, 1000 bolus dengan LAGANTOR BSA BOLUS; @1000 ml dengan VITOL-140, 8000 ml dengan VITOL-140; @1000 ml dengan PYRONIL-2500 BOLUS",,,,,,,,,,,,,,,,,,,,,,
Fasciolosis,"Bulu kusam, Kekurusan, Rahang bawah bengkak",Fasciolosis,8000 ml dengan VITOL-140; @10000 ml dengan ABENOL-100 ORAL,,,,,,,,,,,,,,,,,,,,,,
Feline Calicivirus,"Anorexia,Demam,Liur berlebihan,Sempoyongan",Feline Calicivirus,"0.300 ml dengan MEDOXY-L; @1000 ml dengan INJEKSI VITAMIN B12; dan @0.200 ml dengan PRODRYL INJ, 0.100 ml dengan PRODRYL INJ; @0.200 ml dengan MEDOXY-L; @1000 ml dengan Injekvit B Plex",,,,,,,,,,,,,,,,,,,,,,
Feline Viral Rhinotracheitis,"Anorexia,Demam,Liur berlebihan",Feline Viral Rhinotracheitis,0.500 ml dengan PENSTREP-400; @ 0.500 ml  dengan Dexatozoom Injeksi; @0.500 ml dengan Hematodin,,,,,,,,,,,,,,,,,,,,,,
Fraktur,Patah tulang kaki,Fraktur,0.500 ml dengan Dexatozoom Injeksi; @0.500 ml dengan PENSTREP-400,,,,,,,,,,,,,,,,,,,,,,
Ginggivitis,Luka penis,Ginggivitis,10000 ml dengan Dexatozoom Injeksi; @ 10000 ml dengan VET-OXY SB,,,,,,,,,,,,,,,,,,,,,,
Hernia,"Hernia abdominalis, Hernia umbilicalis",Hernia,"0.500 ml dengan CATOSAL 10% (dulu CATOSAL INJEKSI 10%); @0.300 ml dengan KETAMINE 10% INJ; @0.300 ml dengan XYLA; @0.500 ml dengan Daxatozoom Injeksi; @0.500 ml dengan PENSTREP-400, 4000 ml dengan PENSTREP-400; @4000 ml dengan WONDER LIDOCAIN; @1000 unit dengan GUSANEX; @5000 ml dengan Dexatozoom Injeksi",,,,,,,,,,,,,,,,,,,,,,
Hipofungsi Ovari,"Anestrus,Kekurusan",Hipofungsi Ovari,10000 ml dengan ALBENOL-100 ORAL; @10000 ml dengan VITOL-140,,,,,,,,,,,,,,,,,,,,,,
Indigesti,"Anorexia, Demam",Indigesti,"3000 ml dengan SULPIDON INJEKSI; @3000 ml dengan PENSTREP-400; @3000 ml dengan Hematodin, 3000 ml dengan PENSTREP-400; @3000 ml dengan SULPIDON INJEKSI; @3000 ml dengan INTROVIT-B-COMPLEX",,,,,,,,,,,,,,,,,,,,,,
Kawin Berulang,Kawin berulang,Kawin Berulang,8000 ml dengan VITOL-140; @10000 ml dengan ALBENOL-100 ORAL,,,,,,,,,,,,,,,,,,,,,,
Kecelakaan,"Buta,Luka berdarah,Pincang,Tanda lain",Kecelakaan,"0.500 ml dengan Dexatozoom Injeksi; @0.300 ml dengan KETAMINE 10% INJ; @0.300 ml dengan XYLA; @0.500 ml dengan Hematodin, 0.500 ml dengan PENSTREP-400; @0.300 ml dengan KETAMINE 10% INJ; @0.300 ml dengan XYLA;@0.500 ml dengan Dexatozoom Injeksi; @0.500 ml dengan GUSANEX, 10000 ml dengan Dexatozoom Injeksi; @10000 ml dengan VET-OXY SB, 8000 ml dengan VITOL-14-; @8000 ml dengan Dexatozoom Injeksi; @6000 ml dengan VET-OXY LA",,,,,,,,,,,,,,,,,,,,,,
Keguguran,"Keguguran, Keguguran Muda, Lahir mati",Keguguran,3.000 ml dengan MEDOXY-L dan 3.000 ml dengan VITAMIN B-12 INJEKSI,,,,,,,,,,,,,,,,,,,,,,
Kekurangan Calsium,"Ambruk ,Kekukurusan",Kekurangan Calsium,12000 ml dengan BIODIN; @100000 ml dengan CALCIDEX PLUS,,,,,,,,,,,,,,,,,,,,,,
Keracunan,"Anorexia, Lemah, Liur berlebihan, Mencret",Keracunan,2000 ml dengan COLIBACT INJEKSI; @1000 ml dengan ATROPIN SULFATE; @2000 ml dengan SULPIDON INJEKSI,,,,,,,,,,,,,,,,,,,,,,
Keracunan Pestisida,"Anorexia, Lemah",Keracunan Pestisida,2000 ml dengan INTROVIT-B COMPLEX; @1000 ml dengan ATROPIN SULFATE; @2000 ml dengan VET-OXY SB,,,,,,,,,,,,,,,,,,,,,,
Konjunctivitas,"Buta, Kornea Mata Keruh",Konjunctivitas,"0.300 ml dengan Dexatozoom Injeksi; @0.200 ml dengan XYLA; @0.200 ml dengan KETAMINE 10% INJ; @0.500 ml dengan PENSTREP-400, 0.500 ml dengan VET-OXY SB; @0.300 ml dengan Dexatozoom Injeksi",,,,,,,,,,,,,,,,,,,,,,
Malnutrisi,"Anemia, Diare, Gangguan pada organ tubuh, seperti hati atau ginjal, Gangguan pencernaan seperti diare atau sembelit, Gangguan pencernaan seperti diare atau sembelit, Gangguan pertumbuhan pada anak-anak, Gangguan sistem saraf, Gangguan sistem kekebalan tubuh, Kegagalan organ tertentu karena kekurangan nutrisi tertentu, Kelelahan yang kronis, Lemah, Kelesuan, Kualitas bulu atau kulit yang buruk, seperti kerontokan bulu, kulit kering, atau luka yang sulit sembuh, Kulit kering dan bersisik, Masalah gigi dan gusi, seperti berdarah atau gusi yang bengkak, Masalah pada perkembangan otak pada anak-anak, Masalah reproduksi pada wanita, termasuk haid tidak teratur, Mata cekung, Penurunan berat badan yang signifikan, Rambut kering, Rambut mudah rontok, Sembelit",Malnutrisi,"1.000 bolus dengan PYRONIL-2500 BOLUS dan 10.000 ml dengan VITOL-140 dan 8.000 ml dengan BIODIN, 10.000 ml dengan VITOL-140 dan 8.000 ml dengan SULPIDON INJEKSI",,,,,,,,,,,,,,,,,,,,,,
Mastisis,"Abses, Ambing Bengkak, Anoresia, Liur Berlebihan",Mastisis,3000 ml dengan dexatazoninjeksi dan @3000 ml dengan sulfa strong,Bisa menyebabkan kematian,,,,,,,,,,,,,,,,,,,,,
Miasis,"Bau busuk yang tidak sedap dari luka atau area terinfeksi, Gangguan umum dalam perilaku atau kesehatan, Hilangnya bulu atau rambut pada area yang terinfeksi, Penurunan berat badan, Kehilangan nafsu makan, Kemerahan, Luka Berdarah, Menggaruk atau menggosok bagian tubuh tertentu, Pembengkakan pada area terinfeksi, Pembentukan benjolan atau lepuh pada kulit, Peradangan kulit, Perilaku gelisah atau gatal, Sekresi cairan atau nanah dari area terinfeksi",Miasis,"2.000 ml dengan B-SANPLEX dan 2.000 ml dengan Limoxin 200 LA dan 1.000 unit dengan GUSANEX, 1.000 unit dengan GUSANEX dan 3.000 ml dengan Limoxin 200 LA dan 2.000 ml dengan VITOL-140",Beresiko keluar belatung jika semakin dibiarkan akan semakin membesar,,,,,,,,,,,,,,,,,,,,,
Orf,"Kelainan mata, Kelainan mulut, Radang mata",Orf,"3000 ml dengan MEDOXY-L; @2000 ml dengan PRODRYL INJ; dan @3000 ml dengan JECTAVIT B12 INJ, 2000 ml dengan PRODRYL INJ; @2000 ml dengan MEDOXY LA; dan @3000 ml dengan VITAMIN B12 INJEKSI",,,,,,,,,,,,,,,,,,,,,,
Otitis Interna,Radang telinga,Otitis Interna,"0.500 ml dengan MEDOXY-L; @1000 ml dengan VITAMIN B12 INJEKSI, 0.500 ml dengan Dexatozoom Injeksi; @0.500 ml dengan PENSTREP-400, 0.500 ml dengan PENSTREP-400; @0.500 ml dengan Dexatozoom Injeksi; @0.500 ml dengan CATOSAL 10% (dulu CATOSAL INJEKSI 10%)",,,,,,,,,,,,,,,,,,,,,,
Papilloma,Kelainan kulit,Papilloma,3000 ml dengan Intermectin; @8000 ml dengan VITOL-140,,,,,,,,,,,,,,,,,,,,,,
Pneumonia,"Batuk, Kekurusan",Pneumonia,3000 ml dengan Hematodin; @3000 ml dengan Dexatozoom Injeksi; @3000 ml dengan INTRAMOX-150 LA,,,,,,,,,,,,,,,,,,,,,,
Prolapsus Dubur,Prolaps Anus,Prolapsus Dubur,0.300 ml dengan XYLA; @0.500 ml dengan Dexatozoom Injeksi; @1000 unit dengan GAUSSANEX; @0.500 ml dengan PENSTREP-400; @0.500 ml dengan KENTAMINE 10% INJ,,,,,,,,,,,,,,,,,,,,,,
Q fever,"Ambing bengkak, Demam",Q fever,3000 ml dengan SULPIDON INJEKSI; @1000 ml dengan PENSTREP 400; @3000 ml dengan VITAMIN B12 INJEKSI,,,,,,,,,,,,,,,,,,,,,,
Radang Mata,"Borok Perkulitan, Bulu Rontok, Daun Telinga Keropeng, Gatal atau terasa seperti ada benda asing di mata, Kelopak mata melekat saat bangun tidur (terutama pada konjungtivitis bakteri), Keluarnya sekresi , Kornea Mata Keruh, Mata berair, Mata berdarah, Mata iritasi, Mata merah , Mata terasa kering atau terasa pasir di mata, Mengedipkan mata lebih sering dari biasanya, Pembengkakan pada kelopak mata, Pengeluaran nanah dari mata, Penglihatan kabur, Perkulitan, Produksi lendir atau nanah pada mata (terutama jika infeksi bakteri), Rasa nyeri atau ketidaknyamanan di mata, Rasa perih atau sakit di mata, Sensasi panas di mata, Sensitivitas terhadap cahaya (fotofobia)",Radang Mata,"8000 ml dengan oxy-kella, 8001 ml dengan oxy-kella, 8002 ml dengan oxy-kella, 2.000 ml dengan VET-OXY LA dan 2.000 ml dengan VITOL-140, 10.000 ml dengan VET-OXY LA dan 8.000 ml dengan VITOL-140, 10.000 dengan Limoxin 200 LA dan  8.000 ml dengan Dexatozoon Injeksi 8.000 ml dengan VITOL-140, 8005 ml dengan oxy-kella","Beresiko kebutaan, tidak terlalu beresiko ",,,,,,,,,,,,,,,,,,,,,
Retensio Secundarium,"Bau tidak sedap dari perdarahan vagina (baunya bisa menjadi busuk), Kenaikan suhu tubuh (demam), Nyeri atau kram perut bagian bawah, Perasaan penuh atau tertekan di perut bagian bawah, Perdarahan vagina yang berkepanjangan setelah persalinan, Retensi placenta",Retensio Secundarium,"8.000 ml deangan Dexatozoon Injeksi dan 10.000 ml dengan VET-OXY LA dan 8.000 ml dengan VITOL-140, 8.000 ml dengan Dexatozoon Injeksi dan 8.000 ml dengan VITOL-140 dan 8.000 ml dengan VET-OXY LA",,,,,,,,,,,,,,,,,,,,,,
Scabies,"Anorexia, Borok Perkulitan, Bulu Rontok, gatal, Perkulitan",Scabies,"0.0500 dengan ivomec super, 3.000 ml dengan injeksi VITAMIN B-12 dan 0.400 gram dengan SUPER-P",Bisa menghisap darah dan sangat beresiko yang langsung berkontrasi dengan sapi tersebut,,,,,,,,,,,,,,,,,,,,,
Silent heart,anestrus,Silent heart,"5000 ml dengan CAPRIGLANDIN INJ; @10000 ml dengan VITOL-140, 5000 ml dengan LUTALYSE; @10000 ml dengan VITOL-140",,,,,,,,,,,,,,,,,,,,,,
Stomatitis,"Anorexia, Demam, Liur berdarah",Stomatitis,10000 ml dengan SULPIDON INJEKSI; @8000 ml dengan B-SANPLEX,,,,,,,,,,,,,,,,,,,,,,
Surra,"Anorexia, Demam, Sempoyongan",Surra,10000 gram dengan TRYPONIL; @10000 ml dengan Hematodin,,,,,,,,,,,,,,,,,,,,,,
Tidak Sakit,"Tanda lain, Tidak Sakit",Tidak Sakit,8.000 ml dengan B-SANPLEX,,,,,,,,,,,,,,,,,,,,,,
Tympany,"Kegagalan hewan untuk makan atau minum, gelisah, Kehilangan nafsu makan, Kesulitan bergerak atau berdiri, Kesulitan bernapas, Keterlambatan dalam pengosongan perut, Mungkin terjadi bisingan pada rongga dada atau pernapasan yang cepat, Pernapasan cepat, Perut yang membesar secara tiba-tiba, Perut yang membuncit , Produksi ludah berlebihan, Sapi tampak gelisah, Sapi tampak tidak nyaman, Sering mengunyah atau menggerogoti benda-benda di sekitarnya, Suara perut yang berbunyi-bunyi",Tympany,"2.000 ml dengan SULPIDON INJEKSI dan 30.000 ml dengan Tympanol dan 2.000 ml dengan BIODIN, 3.000 ml dengan SULPIDON INJEKSI dan 30.000 ml dengan Tympanol dan 3.000 ml dengan B-SANPLEX, 3.000 ml dengan SULPIDON INJEKSI dan 30.000 ml dengan Tympanol dan 3.000 ml BIODIN",,,,,,,,,,,,,,,,,,,,,,
Urolothiasis,Kesulitan kencing,Urolothiasis,0.500 ml dengan Dexatozoom Injeksi; @0.300 ml dengan KETAMINE 10% INJ; @0.300 ml dengan XYLA; @0.500 ml dengan PENSTREP-400,,,,,,,,,,,,,,,,,,,,,,
Abses,Abses,Abses,1.000 unit dengan GUSANEX dan 8.000 ml dengan Dexatozoon Injeksi dan 8.000 ml dengan B-SANPLEX dan 8.000 ml dengan VIT-OXY LA,,,,,,,,,,,,,,,,,,,,,,
Avitaminosis,"Anemia, Anorexia, Bulu Kusam, Demam, Diare, Gangguan otot , Gangguan pencernaan , Gangguan penglihatan, Gangguan pertumbuhan pada anak hewan, Gangguan pertumbuhan pada anak-anak, Gangguan reproduksi, Gangguan sistem kekebalan tubuh, Gangguan sistem saraf, Gangguan tulang, Keguguran pada betina, Kehilangan nafsu makan, Kejang , Kekurusan, Lelah , Lemah, Kerontokan rambut, Kesulitan dalam perkawinan, Masalah gigi dan gusi, seperti berdarah atau gusi yang bengkak, Masalah kulit seperti kering, bersisik, dan keriput, Masalah pernapasan, Penglihatan kabur, Perubahan perilaku, Pincang, Sakit otot, Sakit sendi, Sembelit",Avitaminosis,"1.000 bolus dengan PYRONIL-2500 BOLUS dan 8.000 ml dengan VITOL-140, 1000 dengan Pyronil-@2500 bolus dengan B-Sanplex, 1001 dengan Pyronil-@2500 bolus dengan B-Sanplex, 8.000 ml dengan VITOL, 1.000 bolus dengan PYRONIL-2500 BOLUS dan 10.000 ml dengan VITOL-140 dan 8.000 ml dengan BIODIN1003 dengan Pyronil-@2500 bolus dengan B-Sanplex2.000 ml dengan B-SANPLEX-140, 8.000 ml dengan B-SANPLEX dan 1.000 bolus dengan PYRONIL-2500 BOLUS, 1.000 bolus dengan PYRONIL-2500 BOLUS dan 10.000 ml dengan VITOL-140 dan 8.000 ml dengan BIODIN",Kekurangan vitamin (tidak terlalu beresiko),,,,,,,,,,,,,,,,,,,,,
Babesiosis,"Bulu kusam,Gatal,Kelainan kulit,Perkulitan",Babesiosis,"8000 gram dengan TRYPONIL; @3000 ml dengan Intrafer-200 B12, 1000 gram dengan SUPER-P; @8000 ml dengan VITOL-140; dan @1000 ml dengan MEDOXY LA",,,,,,,,,,,,,,,,,,,,,,
Bovine Ephemeral Fever,"Anorexia, Demam, Demam, Demam, Diare, Durasi gejala biasanya 3-4 hari, Gemetar , Kaku pada otot-otot tubuh, Kebingungan, Kehilangan nafsu makan, Lemah, Kelesuan, Kemungkinan terjadinya kejang, Kesadaran menurun, Kesulitan berdiri, Kesulitan bergerak, Muntah , Pembengkakan pada sendi-sendi kaki, Penurunan produksi susu pada sapi perah, Penurunan suhu tubuh setelah demam, Pincang, Produksi air liur meningkat, Sakit otot , Sakit sendi, Sempoyongan, Terjadi kejang-kejang, Tremor",Bovine Ephemeral Fever,"10.000 ml dengan B-SANPLEX dan 1.000 bolus dengan PYRONIL-2500 BOLUS, 8.000 ml dengan VET-OXY LA dan 8.000 ml dengan SULPIDON INJEKSI dan 8.000 ml dengan B-SANPLEX, 10.000 ml dengan SULPIDON, 8001 ml dengan B-SANPLEX; @8000 ml dengan SULPIDO INJEKSI dan @8000 ml dengan VET-OXY LA8.000 ml dengan B-SANPLEX dan 10.000 ml dengan SULPIDON INJEKSI dan 8.000 ml dengan VET-OXY LAINJEKSI dan 8.000 ml dengan VET-OXY LA dan 8.000 ml dengan B-SANPLEX, 8001 ml dengan B-SANPLEX; @8000 ml dengan SULPIDO INJEKSI dan @8000 ml dengan VET-OXY LA",Bisa menurunkan produksi daging ,,,,,,,,,,,,,,,,,,,,,
Corpus Luteum Persisten,Anestrus,Corpus Luteum Persisten,5000 ml dengan CAPRIGLADIN INJ; @10000 ml dengan VITOL-140,,,,,,,,,,,,,,,,,,,,,,
Distokia,"gelisah, Janin yang terlilit tali pusar, Keluarnya cairan atau darah dalam jumlah yang tidak normal dari vulva, Kepala atau anggota badan janin terlihat tidak normal atau terdistorsi, Kesulitan dalam proses persalinan, Keterlambatan dalam proses persalinan, Lama waktu persalinan yang tidak normal, Pendarahan atau keluarnya cairan dari vulva, Posisi atau presentasi janin yang tidak benar (misalnya kepala tersendat), Posisi atau presentasi janin yang tidak benar (misalnya, kaki belakang), Sapi kesulitan untuk melahirkan, Sapi menunjukkan tanda-tanda kesakitan yang tidak biasa, Sapi merintih , Sapi tampak gelisah, Sapi tampak tidak nyaman",Distokia,"1.000 unit dengan Traksi dan 10.000 ml dengan PENSTREP-400 dan 8.000 ml dengan BIODIN, 3.000 ml dengan BIODIN dan 1.000 unit dengan 2.000 ml dengan VET-OXY LA dan 1.000 ml dengan OXYTOCIN",,,,,,,,,,,,,,,,,,,,,,
Endometritis,Rahim bernanah,Endometritis,10000 ml dengan PENSTREP-400; @10000 ml dengan VITOL-140,,,,,,,,,,,,,,,,,,,,,,
Enteritis,"Berat badan turun secara signifikan, Darah dalam tinja (terkadang), Dehidrasi , Demam, Diare, Diare, Gatal atau terasa seperti ada benda asing di mata, Gejala flu, seperti pilek atau sakit tenggorokan (pada beberapa kasus), Penurunan berat badan yang signifikan, Kehilangan nafsu makan, Lelah , Keluarnya sekresi atau mata berair, Kram perut atau nyeri perut, Kurangnya urin, Lemas, Mata cekung, Mata merah, Mata iritasi, Mencret, Mengedipkan mata lebih sering dari biasanya, Mual, Mulut kering, Muntah , Pembengkakan pada kelopak mata, Penglihatan kabur, Penurunan produksi susu pada hewan ternak (jika berlaku), Perubahan perilaku, Perut kembung, Produksi lendir atau nanah pada mata (terutama jika infeksi bakteri), Rasa nyeri atau ketidaknyamanan di mata, Sensasi panas di mata, Sensitivitas terhadap cahaya (fotofobia), Suhu tubuh yang meningkat",Enteritis,"2.000 ml dengan SULFA STRONG dan 2.000 ml dengan VITOL-140, 10.000 ml dengan SULFA STRONG dan 10.000 ml dengan BIODIN, 10.000 ml dengan SULFA STRONG dan 8.000 ml dengan VITOL-140, 2.000 ml dengan SULFA STRONG dan 2.000 ml dengan B-SANPLEX",,,,,,,,,,,,,,,,,,,,,,
Eutokia,"Lahir mati,Lahir normal,Tanda lain",Eutokia,"10.000 ml dengan SULFA STRONG dan 10.000 ml dengan BIODIN, 1000 bolus dengan LAGANTOR BSA BOLUS; @1000 ml dengan VITOL-140, 8000 ml dengan VITOL-140; @1000 ml dengan PYRONIL-2500 BOLUS",,,,,,,,,,,,,,,,,,,,,,
